Cruise,Station,lon,lat,z,pres,temp,sal,theta,sigma,o2
SR04_06AQANTIX_2,95,342.7367,-69.0767,13.859,14.000466338841614,-1.8436,34.349899,-1.8438617789895444,27.65364515501483,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,17.818,18.000054271710408,-1.8446,34.349899,-1.8449371211910186,27.653673229972355,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,21.777,21.99972052693239,-1.8446,34.350201,-1.8450129197062515,27.653920873771767,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,25.737,26.00047540118743,-1.8446,34.350399,-1.8450890567783111,27.654083926429166,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,29.696,30.000298306358815,-1.8446,34.3521,-1.8451655863577066,27.65546962375629,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,33.655,34.000199519344505,-1.8436,34.351101,-1.8442425808677378,27.654632876989808,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,37.614,38.00011800014195,-1.8436,34.351501,-1.8443197187591824,27.654960275255462,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,41.573,42.00017581421726,-1.8416,34.355,-1.8423981786699875,27.657756342471657,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,45.532,46.0003119215675,-1.8356,34.360901,-1.8364789887857864,27.662401352661846,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,49.49,49.999515897156805,-1.8316,34.363499,-1.8325594080355592,27.66441158301609,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,53.449,53.99980112275622,-1.8266,34.366299,-1.8276409834556233,27.666559463381418,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,57.408,58.00016155161623,-1.8226,34.3717,-1.8237230593471243,27.670849030206682,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,61.366,61.999589029149725,-1.8206,34.373798,-1.821804307222207,27.672504678866744,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,65.325,66.00010448431645,-1.8146,34.3825,-1.8158892419690726,27.679425509988732,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,69.283,69.99968693983888,-1.8086,34.388302,-1.8099746322068277,27.68398679638767,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,73.242,74.00035740298773,-1.7936,34.400501,-1.7950676455550445,27.693508081906657,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,77.2,78.00009481817848,-1.7566,34.417801,-1.7581780200295454,27.70657047203258,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,81.158,81.99990969654738,-1.7056,34.4231,-1.7072996745211708,27.709456549475362,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,85.116,85.99980203351502,-1.6966,34.424,-1.698392906071292,27.70993529607381,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,89.074,89.99977182450174,-1.6966,34.425701,-1.6984801472684994,27.71132065269194,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,93.032,93.99981906492775,-1.6866,34.431,-1.688576619191056,27.715345790086076,NA
